  S    T    X  AorM Estp gear  speed   steer  brk     enc     alv etx0 etx1
0x53 0x54 0x58 0x01 0x00    2      0 200   0    1          0    7 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 200   0    1          0    8 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 224   0  200          0    9 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 224   0    1          0   10 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 247 255    1          0   11 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 247 255  200          0   12 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0    1          0   13 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0    1          0   14 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0  200          0   15 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0    1          0   16 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0    1          0   17 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0   18 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0   17          0   19 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0   20 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   21 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0   17          0   22 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0   23 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   24 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0   17          0   25 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0   26 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 217 254  200          0   27 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 217 254   17          0   28 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  15 255    1          0   29 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  15 255  200          0   30 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  13   0  200          0   31 0x0d 0x0a 
